model,horizon,block,n,mae,rmse,relative_mae,pinball_10,pinball_50,pinball_90,coverage_raw,coverage,width,mae_pct
gbm,1,train,56663,0.01268899396107426,0.022120669019711624,0.6651494488249584,0.0030196046328616073,0.00634449698053713,0.0028277719080977886,0.8031519686567954,0.9294071969362724,0.05392018713313201,1.281081354938279
gbm,1,cal,6560,0.01102977708397312,0.014945887189711864,0.5113493880003777,0.0023185401259630937,0.00551488854198656,0.002646829140760945,0.739329268292683,0.9001524390243902,0.04461269028840692,1.130122539563289
gbm,1,test,7378,0.018155709232657448,0.024522296855954216,0.7998222068915485,0.005143036946424244,0.009077854616328724,0.004243135453178088,0.6066684738411494,0.7624017348875034,0.05196905117035964,1.845854673151253
gbm,2,train,56242,0.016103439344519577,0.02682777380317147,0.5331775376804253,0.0037849857935327966,0.008051719672259788,0.003649283144959421,0.8036520749617724,0.9511930585683297,0.0781347234256433,1.6419007736106093
gbm,2,cal,6560,0.016827721589653667,0.023443682518765285,0.42816939315408353,0.003330050641550855,0.008413860794826833,0.0046043379512151214,0.7057926829268293,0.9001524390243902,0.06909790437083878,1.7657722894262817
gbm,2,test,7378,0.026198112468610615,0.0365309575746403,0.7249293168829889,0.007922895437416554,0.013099056234305307,0.0051622182688935,0.6612903225806451,0.8219029547302792,0.08082815171165393,2.7147328059185027
gbm,4,train,55406,0.023684933754980916,0.03753243858202415,0.4474153445833774,0.0053125935150341195,0.011842466877490458,0.005528367686058783,0.8032523553405768,0.9779265783489153,0.14791720129627275,2.468875395905748
gbm,4,cal,6560,0.02793843433660307,0.040877699156026875,0.40675006384621526,0.005066215320004916,0.013969217168301535,0.009931705991088736,0.655640243902439,0.9001524390243902,0.12902441414780524,3.044392915170036
gbm,4,test,7378,0.04089282958531625,0.053340455745617146,0.5654115712253195,0.009750787166185364,0.020446414792658126,0.008769177149414682,0.6492274329086474,0.9070208728652751,0.16529905385374505,4.421283005820055
gbm,8,train,53771,0.041728906522405095,0.06402094662136469,0.42375318026150094,0.009024438777923036,0.020864453261202547,0.010227843671316713,0.8042997154600063,0.9504565658068476,0.2084450507307797,4.561944173628473
gbm,8,cal,6560,0.044354169249407854,0.05971386134016815,0.37959443479183963,0.007936266327823398,0.022177084624703927,0.013652583997748423,0.6967987804878049,0.9001524390243902,0.19142898849913545,5.072749539150032
gbm,8,test,7378,0.09297409552724567,0.11522224487672061,0.5759003828348954,0.017718193315661355,0.046487047763622835,0.025049429854650498,0.5164001084304689,0.7195716996476009,0.2242807535156262,10.753391159225865
